,bbox_west,bbox_south,bbox_east,bbox_north
Tweed_2022_2_GM,153.3219729,-28.26062022,153.5921204,-28.13969709
TweedHeads_2022_1_GM,153.3507552,-28.4279369,153.5953947,-28.15267655
TweedHeads_2022_1_GM_CIR,153.3507552,-28.4279369,153.5953947,-28.15267655
WaggaWagga_2022_2_GM,147.2148894,-35.23283119,147.5057017,-35.03241046
WaggaWagga_2022_5_GM,147.1099279,-35.23882721,147.5883305,-35.10008888
WaggaWagga_2022_5_GM_CIR,147.1099279,-35.23882721,147.5883305,-35.10008888
WaggaWagga_2022_6_GM,147.1098044,-35.11531672,147.5881788,-34.98531401
WaggaWagga_2022_6_GM_CIR,147.1098044,-35.11531672,147.5881788,-34.98531401
Wollongong_2022_3_GM,150.6477148,-34.60994564,151.178428,-34.07874507
Yamba_2022_1_GM,153.2770663,-29.47665052,153.3840519,-29.36165197
Yass_2022_1_GM,148.4764152,-35.27307064,148.7635844,-34.50473565
Ardlethan_2019_1_GM,146.8700205,-34.37735426,146.9266108,-34.34258655
Ardlethan_2019_CIR_1_GM,146.8700205,-34.37735426,146.9266108,-34.34258655
ARTC_NS2B_Goondiwindi_2019_1_GM,150.1917302,-28.78302946,150.5512466,-28.49527014
Barooga_2019_1_GM,145.6639225,-35.94866984,145.7317295,-35.86682514
Beckom_2019_1_GM,146.948358,-34.33904522,146.9733714,-34.31423653
Beckom_2019_CIR_1_GM,146.948358,-34.33904522,146.9733714,-34.31423653
Berrigan_2019_1_GM,145.7844486,-35.67941284,145.8513203,-35.63819683
Berrigan_2019_2_GM,145.3180205,-35.99512689,146.0262041,-35.50398695
Cabonne_Towns_Barry_Hobbys_Yards_2019_1_GM,149.2467502,-33.70797022,149.3483054,-33.6283394
Cabonne_Towns_Barry_Hobbys_Yards_2019_1_NIR_GM,149.2467502,-33.70797022,149.3483054,-33.6283394
Cabonne_Towns_Blayney_2019_1_GM,149.2283238,-33.55255108,149.2717302,-33.50113551
Cabonne_Towns_Blayney_2019_1_NIR_GM,149.2283238,-33.55255108,149.2717302,-33.50113551
Cabonne_Towns_Canowindra_2019_1_GM,148.6474693,-33.58845011,148.681856,-33.53911481
Cabonne_Towns_Canowindra_2019_1_NIR_GM,148.6474693,-33.58845011,148.681856,-33.53911481
Cabonne_Towns_Cargo_2019_1_GM,148.7906084,-33.43960427,148.8284415,-33.41010798
Cabonne_Towns_Cargo_2019_1_NIR_GM,148.7906084,-33.43960427,148.8284415,-33.41010798
Cabonne_Towns_Cumnock_2019_1_GM,148.7412053,-32.94395699,148.765875,-32.91263874
Cabonne_Towns_Cumnock_2019_1_NIR_GM,148.7412053,-32.94395699,148.765875,-32.91263874
Cabonne_Towns_Eugowra_2019_1_GM,148.3502808,-33.43852801,148.3910236,-33.4167155
Cabonne_Towns_Eugowra_2019_1_NIR_GM,148.3502808,-33.43852801,148.3910236,-33.4167155
Cabonne_Towns_Lyndhurst_Mandurama_Carcoar_2019_1_GM,149.0026983,-33.70233046,149.1699751,-33.58789409
Cabonne_Towns_Lyndhurst_Mandurama_Carcoar_2019_1_NIR_GM,149.0026983,-33.70233046,149.1699751,-33.58789409
Cabonne_Towns_Manildra_Cudal_2019_1_GM,148.673867,-33.3045802,148.7596559,-33.16439753
Cabonne_Towns_Manildra_Cudal_2019_1_NIR_GM,148.673867,-33.3045802,148.7596559,-33.16439753
Cabonne_Towns_Millthorpe_2019_1_GM,149.1629039,-33.46334856,149.1999656,-33.42548374
Cabonne_Towns_Millthorpe_2019_1_NIR_GM,149.1629039,-33.46334856,149.1999656,-33.42548374
Cabonne_Towns_Molong_2019_1_GM,148.8384849,-33.11402915,148.9081417,-33.06989292
Cabonne_Towns_Molong_2019_1_NIR_GM,148.8384849,-33.11402915,148.9081417,-33.06989292
Cabonne_Towns_Mullion_Creek_2019_1_GM,149.1027944,-33.16057739,149.1290509,-33.12657233
Cabonne_Towns_Mullion_Creek_2019_1_NIR_GM,149.1027944,-33.16057739,149.1290509,-33.12657233
Cabonne_Towns_Neville_2019_1_GM,149.1963432,-33.72390258,149.2384191,-33.70046289
Cabonne_Towns_Neville_2019_1_NIR_GM,149.1963432,-33.72390258,149.2384191,-33.70046289
Cabonne_Towns_Newbridge_2019_1_GM,149.3541115,-33.59506126,149.3812422,-33.5699702
Cabonne_Towns_Newbridge_2019_1_NIR_GM,149.3541115,-33.59506126,149.3812422,-33.5699702
Cabonne_Towns_Yeoval_2019_1_GM,148.6377797,-32.76352237,148.6595121,-32.73692407
Cabonne_Towns_Yeoval_2019_1_NIR_GM,148.6377797,-32.76352237,148.6595121,-32.73692407
Carrathool_2019_1_GM,145.4287154,-34.4130377,145.4413178,-34.40307558
Carrathool_2019_1_GM_NIR,145.4287154,-34.4130377,145.4413178,-34.40307558
Central_Coast_2019_1_GM,150.9256304,-33.64490785,151.5148357,-33.14785837
Central_Coast_2019_2_GM,151.2732616,-33.55066633,151.7607301,-32.88044513
Central_East_NSW_2019_1_GM,148.0795141,-33.99762612,149.9219397,-31.88448849
Cessnock_2019_1_GM,151.2898666,-32.86945465,151.3870066,-32.79675434
Charbon_2019_GM,149.9370589,-32.97313952,150.0205475,-32.87176878
Coolamon_2019_1_GM,147.1584884,-34.84170098,147.2324252,-34.78522204
Coolamon_2019_CIR_1_GM,147.1584884,-34.84170098,147.2324252,-34.78522204
